"","id","Wikipedia_Link","Name","Country","Born","Dead","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"173",173,"https://en.wikipedia.org/wiki/Jagadish_Chandra_Bose","Jagadish Chandra Bose ","India",1858,1937,"India",22.3511148,78.6677428,6.2325274,35.6745457,68.1113787,97.395561
"174",174,"https://en.wikipedia.org/wiki/Mihajlo_Idvorski_Pupin","Mihajlo Idvorski Pupin ","Serbia",1858,1935,"Serbia",44.02432285,21.076574332099,41.8577007,46.1900524,18.8142875,23.006309
"175",175,"https://en.wikipedia.org/wiki/John_J._Montgomery","John J. Montgomery ","United States",1858,1911,"United States",39.7837304,-100.4458825,-14.7608358,71.6048217,-180,180
"176",176,"https://en.wikipedia.org/wiki/Pierre_Curie","Pierre Curie ","France",1859,1906,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"177",177,"https://en.wikipedia.org/wiki/Charles_Edouard_Guillaume","Charles Édouard Guillaume ","Switzerland",1861,1931,"Switzerland",46.7985624,8.2319736,45.817995,47.8084648,5.9559113,10.4922941
"178",178,"https://en.wikipedia.org/wiki/Emil_Wiechert","Emil Wiechert ","Germany",1861,1928,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"179",179,"https://en.wikipedia.org/wiki/Vilhelm_Bjerknes","Vilhelm Bjerknes ","Norway",1862,1951,"Norway",64.5731537,11.5280364395482,57.7590052,71.3848787,4.0875274,31.7614911
"180",180,"https://en.wikipedia.org/wiki/Philipp_Lenard","Philipp Lenard ","Hungary",1862,1947,"Hungary",47.1817585,19.5060937,45.737128,48.585257,16.1138866,22.8977094
"181",181,"https://en.wikipedia.org/wiki/William_Henry_Bragg","William Henry Bragg ","United Kingdom",1862,1942,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"182",182,"https://en.wikipedia.org/wiki/Paul_Drude","Paul Drude ","Germany",1863,1906,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"183",183,"https://en.wikipedia.org/wiki/Wilhelm_Wien","Wilhelm Wien ","Germany",1864,1928,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"184",184,"https://en.wikipedia.org/wiki/Pieter_Zeeman","Pieter Zeeman ","Netherlands",1865,1943,"Netherlands",52.5001698,5.7480821,11.777,53.744025,-70.2695876,7.2274985
"185",185,"https://en.wikipedia.org/wiki/Margrete_Heiberg_Bose","Margrete Heiberg Bose ","Denmark",1866,1952,"Denmark",55.670249,10.3333283,54.4516667,57.9524297,7.7153255,15.5530641
"186",186,"https://en.wikipedia.org/wiki/Pyotr_Nikolaevich_Lebedev","Pyotr Nikolaevich Lebedev ","Russia",1866,1912,"Russia",64.6863136,97.7453061,41.1850968,82.0586232,-180,180
"187",187,"https://en.wikipedia.org/wiki/Marie_Curie","Marie Curie ","Poland",1867,1934,"Poland",52.215933,19.134422,49.0020468,55.036025,14.0696389,24.145783
"188",188,"https://en.wikipedia.org/wiki/John_Sealy_Townsend","John Townsend ","United Kingdom",1868,1957,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"189",189,"https://en.wikipedia.org/wiki/Robert_W._Wood","Robert W. Wood ","United States",1868,1955,"United States",39.7837304,-100.4458825,-14.7608358,71.6048217,-180,180
"190",190,"https://en.wikipedia.org/wiki/Robert_Millikan","Robert Andrews Millikan ","United States",1868,1953,"United States",39.7837304,-100.4458825,-14.7608358,71.6048217,-180,180
"191",191,"https://en.wikipedia.org/wiki/Arnold_Sommerfeld","Arnold Sommerfeld ","Germany",1868,1951,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"192",192,"https://en.wikipedia.org/wiki/Charles_Thomson_Rees_Wilson","Charles Thomson Rees Wilson ","United Kingdom",1869,1959,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"193",193,"https://en.wikipedia.org/wiki/Alfred-Marie_Li%C3%A9nard","Alfred-Marie Liénard ","France",1869,1958,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"194",194,"https://en.wikipedia.org/wiki/Gustaf_Dal%C3%A9n","Gustaf Dalén ","Sweden",1869,1937,"Sweden",59.6749712,14.5208584,55.1331192,69.0599699,10.5930952,24.1776819
"195",195,"https://en.wikipedia.org/wiki/Georges_Sagnac","Georges Sagnac ","France",1869,1926,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"196",196,"https://en.wikipedia.org/wiki/Arthur_Korn","Arthur Korn ","Germany",1870,1945,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"197",197,"https://en.wikipedia.org/wiki/Jean_Baptiste_Perrin","Jean Baptiste Perrin ","France",1870,1942,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"198",198,"https://en.wikipedia.org/wiki/Martin_Knudsen","Martin Knudsen ","Denmark",1871,1949,"Denmark",55.670249,10.3333283,54.4516667,57.9524297,7.7153255,15.5530641
